id,code,amount,user_id,purchase_id,expiration_date,create_date,update_date
1,40076-319,311,105,230,2023-05-30 21:20:16,2023-11-07 13:40:55,2024-03-07 12:29:49
2,47335-738,414,199,698,2023-12-28 17:08:27,2023-11-08 05:26:05,2023-09-11 08:57:39
3,0555-0513,300,619,824,2024-03-15 12:47:18,2023-10-08 16:59:31,2024-02-03 03:56:23
4,34460-6007,353,890,200,2023-09-10 01:33:35,2023-11-20 17:10:45,2023-11-19 16:14:44
5,0517-3050,212,280,,2023-12-04 01:22:13,2023-06-07 12:45:15,2024-01-25 08:24:59
6,10096-0193,175,172,,2024-01-19 21:32:28,2024-02-22 14:26:24,2024-04-27 11:19:14
7,0268-0100,496,154,999,2024-03-28 03:54:53,2023-11-05 16:59:07,2023-08-28 23:00:49
8,76420-755,381,602,581,2023-09-18 07:50:40,2024-05-08 11:43:49,2024-04-12 09:43:36
9,0187-1610,338,407,834,2024-04-04 23:05:41,2024-03-24 00:14:40,2023-12-09 23:13:43
10,24385-404,62,627,890,2024-03-01 21:29:12,2024-02-16 04:04:36,2023-08-13 13:56:45
11,21695-924,81,577,786,2024-01-09 11:41:38,2024-02-12 10:46:39,2024-02-07 14:29:25
12,10157-1006,83,542,,2023-10-08 23:58:58,2024-02-22 23:29:07,2024-03-11 00:07:43
13,66579-0069,235,636,928,2023-07-26 23:55:31,2024-05-03 14:19:04,2024-03-04 10:08:56
14,50730-4402,169,551,80,2024-02-27 22:02:11,2024-04-27 22:31:42,2024-03-29 07:02:23
15,63868-244,330,458,,2023-11-29 19:02:23,2023-10-08 06:54:26,2023-08-28 15:16:06
16,35356-813,369,775,390,2024-02-10 09:48:20,2023-10-06 19:31:59,2024-01-30 10:33:51
17,47682-097,441,761,,2024-01-05 23:46:10,2023-11-27 14:03:00,2024-02-08 18:28:31
18,62670-4565,88,589,,2024-04-18 17:59:53,2023-07-31 02:41:05,2023-06-10 20:50:52
19,68462-256,109,451,524,2024-01-22 12:47:00,2023-10-17 23:11:53,2024-03-04 13:27:29
20,10345-032,129,184,,2024-04-05 08:45:33,2024-03-18 03:45:11,2023-11-21 23:12:10
21,49288-0596,66,210,,2024-02-21 12:01:50,2023-09-08 19:18:37,2024-05-12 06:01:58
22,41163-430,145,509,,2023-08-31 23:33:16,2024-04-21 02:28:04,2023-10-05 09:32:05
23,42549-599,249,609,939,2024-01-12 22:29:58,2024-02-09 14:36:31,2023-05-27 16:26:19
24,55670-600,400,901,868,2024-05-14 19:36:53,2024-01-26 17:59:05,2024-05-16 18:49:16
25,67544-354,53,823,,2023-06-08 20:55:54,2024-01-28 18:52:27,2024-01-08 20:07:31
26,63629-3941,214,546,868,2024-04-04 23:44:43,2023-10-20 12:30:22,2023-06-30 10:36:35
27,36000-162,284,666,,2024-03-23 23:19:51,2023-12-12 21:42:59,2023-09-11 23:21:18
28,51460-0504,370,175,31,2024-02-29 15:23:10,2023-12-26 00:57:25,2023-06-19 11:39:53
29,0904-6187,393,110,,2023-09-24 02:52:46,2024-04-18 03:38:04,2023-12-11 05:23:55
30,64406-806,347,12,826,2023-11-12 22:03:17,2024-02-28 11:04:49,2023-12-28 09:10:35
31,34645-4188,297,481,,2023-09-28 19:58:20,2024-03-08 17:59:53,2024-03-28 03:35:11
32,54868-4350,496,705,156,2024-05-04 05:17:23,2023-07-06 16:15:07,2023-09-04 06:07:09
33,58668-0741,483,906,931,2023-08-13 21:08:02,2023-09-03 20:29:14,2024-05-16 09:31:39
34,49502-901,311,492,,2024-01-28 15:32:49,2024-05-20 05:17:18,2024-04-02 13:42:45
35,50600-002,58,850,733,2023-05-27 17:34:08,2024-04-24 23:27:53,2023-05-29 08:13:59
36,36987-2554,465,430,660,2023-09-02 20:05:35,2023-06-16 05:28:24,2024-03-03 10:19:39
37,30805-010,117,595,,2024-01-05 12:24:24,2023-06-21 11:03:18,2024-01-23 13:15:01
38,58411-177,438,139,463,2024-04-04 02:31:30,2023-09-07 11:42:02,2023-06-24 13:07:08
39,60505-0184,231,494,890,2023-06-09 07:47:56,2023-06-08 19:13:44,2024-03-30 02:08:25
40,65044-6694,162,104,,2023-07-02 00:07:37,2024-02-17 03:46:01,2023-06-25 08:31:07
41,0053-6232,114,381,13,2023-06-05 05:54:20,2023-09-20 22:42:39,2024-02-11 00:12:29
42,68599-0203,310,770,,2023-11-06 07:34:06,2023-12-02 12:46:19,2024-02-01 17:26:44
43,50114-1136,478,46,,2023-06-27 11:35:37,2023-08-11 08:12:11,2024-05-08 01:17:55
44,0268-0893,315,623,401,2024-02-14 03:32:23,2023-06-09 12:14:10,2024-04-30 18:25:25
45,0409-7809,381,361,,2024-01-02 18:13:12,2024-03-20 21:09:08,2023-08-16 20:54:36
46,36987-1089,322,190,452,2024-03-11 08:00:55,2024-04-08 08:40:07,2024-03-08 02:05:29
47,11673-029,106,122,,2023-11-07 05:04:58,2024-04-17 01:27:53,2023-12-29 08:16:13
48,52125-991,421,494,,2023-10-10 21:54:31,2023-07-16 11:06:47,2024-01-24 00:12:01
49,0942-6475,402,13,324,2023-10-10 23:43:14,2023-10-31 09:06:28,2023-12-25 19:37:12
50,0054-0383,293,832,414,2024-01-10 19:26:54,2024-02-16 20:43:55,2024-03-08 21:35:21
51,66078-440,430,279,183,2023-08-18 14:28:43,2024-04-11 14:57:55,2024-03-23 12:48:35
52,11410-955,136,724,818,2023-10-18 21:26:45,2023-10-18 09:10:27,2023-05-23 18:52:02
53,54260-001,197,100,806,2023-09-17 09:40:00,2023-07-25 10:46:53,2024-01-05 23:07:19
54,0781-3342,76,216,409,2023-07-28 17:22:30,2023-08-19 11:31:58,2023-11-01 16:17:42
55,55154-4791,119,388,,2023-06-15 06:55:52,2024-03-12 03:14:51,2024-02-27 20:56:04
56,35356-630,330,432,585,2024-01-15 09:48:02,2023-09-02 03:06:13,2024-05-13 05:20:54
57,57525-022,400,22,585,2023-05-22 00:09:26,2023-09-19 18:10:59,2023-09-17 18:19:30
58,51079-133,328,945,668,2023-09-21 18:49:19,2024-03-22 18:11:13,2023-08-06 16:01:51
59,42808-405,134,687,,2024-02-07 17:29:46,2023-11-05 12:42:47,2024-02-01 15:04:38
60,24208-358,358,383,,2023-11-23 23:58:45,2023-09-15 23:24:21,2024-04-11 04:34:44
61,47593-479,445,984,127,2023-09-01 09:19:29,2023-06-22 05:14:54,2024-01-24 23:06:35
62,62481-4565,153,865,,2024-01-26 08:32:33,2023-12-20 07:25:24,2023-08-18 04:04:05
63,0268-0616,287,281,643,2024-01-06 15:13:45,2024-04-26 12:09:59,2023-12-01 07:04:35
64,68391-604,290,335,809,2023-09-23 14:55:11,2024-05-20 19:55:27,2023-07-20 15:48:15
65,61748-202,125,837,260,2024-04-22 23:23:51,2023-08-21 10:25:08,2024-05-18 18:55:29
66,63629-4515,50,399,414,2024-02-19 15:56:14,2023-07-03 17:28:43,2023-12-18 11:59:14
67,66854-023,91,706,851,2023-11-03 16:23:19,2023-09-24 07:54:41,2024-04-11 19:59:04
68,43857-0180,210,931,602,2023-08-18 19:36:17,2024-03-17 00:22:50,2023-06-01 16:29:02
69,67938-1149,450,457,586,2023-08-26 03:00:55,2024-05-09 01:46:10,2024-04-30 19:26:02
70,63029-222,116,744,,2024-03-06 21:52:20,2023-12-11 05:33:54,2024-01-04 00:20:26
71,60429-202,310,638,815,2024-05-01 14:43:27,2024-04-03 22:02:56,2023-05-29 13:36:21
72,21695-178,99,226,816,2024-05-12 23:41:19,2024-01-26 13:12:23,2024-04-06 23:22:34
73,11026-2650,387,156,,2023-06-07 05:49:41,2024-01-24 23:31:47,2024-03-31 05:26:11
74,24451-091,478,196,699,2023-08-12 05:11:47,2023-12-17 06:12:25,2024-05-18 10:06:50
75,42352-8001,395,279,308,2023-07-20 19:25:08,2023-07-18 10:26:06,2024-04-02 19:14:34
76,54569-1556,322,438,,2023-10-03 11:12:38,2024-05-05 13:01:20,2024-01-14 10:11:49
77,55111-265,362,497,24,2024-03-26 01:33:09,2023-11-27 01:06:06,2023-08-25 19:23:42
78,60986-1020,218,426,299,2023-12-02 15:27:00,2023-09-21 12:48:49,2024-05-02 11:44:50
79,0187-5485,391,242,,2024-01-27 13:11:29,2024-03-21 21:06:16,2024-03-15 07:41:54
80,65649-103,301,63,,2023-11-18 18:49:06,2024-02-20 23:30:44,2024-01-08 05:30:06
81,0781-5619,495,155,963,2024-02-01 03:01:33,2024-03-27 07:32:44,2024-01-03 10:06:29
82,53329-813,75,429,576,2023-11-10 07:09:02,2024-05-07 04:20:44,2023-06-19 14:03:39
83,55154-1384,285,727,749,2024-04-13 10:47:52,2023-12-11 19:56:39,2023-10-16 08:22:23
84,57955-0277,322,876,923,2023-07-15 18:00:52,2024-01-22 03:28:55,2023-08-25 07:30:27
85,68788-9831,279,608,551,2023-08-19 12:33:53,2024-01-02 18:17:44,2024-03-21 01:05:46
86,44924-113,357,813,455,2023-10-03 15:34:26,2024-01-12 19:07:34,2024-04-24 13:44:57
87,43742-0452,250,205,198,2024-03-31 08:44:34,2024-04-28 15:51:22,2023-12-04 06:32:56
88,23359-016,418,955,995,2024-02-18 14:21:26,2023-06-28 13:12:34,2023-08-25 08:39:42
89,0555-0139,448,886,,2024-04-17 00:02:41,2024-05-15 08:29:30,2023-10-14 02:02:13
90,65121-711,98,362,,2023-07-07 23:23:17,2024-04-30 10:57:29,2023-07-02 17:17:43
91,0404-6620,390,415,,2024-05-05 01:56:02,2023-06-27 12:50:30,2023-06-04 11:22:35
92,24385-148,245,951,752,2023-07-09 19:15:48,2024-05-03 19:06:27,2024-02-23 15:32:58
93,52810-701,172,187,724,2023-07-19 21:42:34,2023-05-25 05:46:03,2024-01-10 20:04:18
94,0007-4207,205,146,158,2024-04-04 10:28:26,2023-09-27 08:21:29,2024-01-27 17:58:28
95,36800-668,257,36,85,2024-03-18 01:30:54,2023-08-04 06:41:31,2023-12-10 23:43:40
96,49643-818,388,827,54,2024-04-02 16:10:57,2023-10-31 22:01:09,2023-06-02 03:12:14
97,33992-8805,125,37,,2023-11-11 07:36:17,2023-08-08 03:43:30,2024-01-21 01:22:34
98,55312-238,341,10,485,2024-04-19 09:33:46,2023-10-03 18:44:15,2023-09-15 07:48:14
99,61995-2500,209,253,776,2023-06-13 12:46:21,2023-09-18 14:59:14,2023-12-18 12:18:52
100,43419-508,428,151,40,2024-05-14 17:52:06,2024-02-16 17:13:18,2023-12-15 16:54:03
101,48951-1164,231,631,646,2024-01-01 22:44:05,2023-08-26 06:54:48,2023-10-28 08:55:43
102,52862-303,134,994,382,2024-02-08 03:10:12,2023-05-24 06:12:59,2023-12-09 22:21:57
103,0456-3210,385,268,159,2023-05-31 04:56:57,2024-04-11 01:47:16,2024-01-02 04:23:21
104,57627-112,276,797,81,2024-05-11 08:01:06,2024-01-02 17:27:34,2024-04-02 08:25:38
105,66116-444,354,515,532,2024-02-07 23:41:36,2024-01-19 15:54:36,2023-10-10 02:05:18
106,0037-5010,160,834,,2024-01-15 13:34:36,2024-05-06 05:19:36,2024-03-07 00:41:16
107,52125-419,391,816,,2023-09-13 16:54:56,2024-04-18 13:47:34,2023-11-23 21:06:17
108,37808-202,216,208,,2023-05-26 13:41:53,2024-05-12 04:16:48,2023-10-17 15:09:52
109,58411-214,203,357,963,2023-09-18 08:57:23,2023-09-17 23:45:36,2023-09-06 08:47:13
110,49738-279,91,816,354,2024-02-27 07:21:21,2024-02-24 12:06:12,2023-11-13 01:49:09
111,49035-076,136,775,,2024-04-05 22:46:51,2023-12-03 23:30:25,2023-09-25 04:43:15
112,0591-0388,405,704,,2024-04-23 22:26:54,2024-05-12 05:31:56,2023-08-30 21:34:58
113,41190-175,389,50,,2024-02-16 00:34:21,2023-07-11 22:00:08,2023-11-16 17:10:09
