id,user_id,game_id,discount_id,amount,create_date
1,715,151,,1362,2024-03-08 23:19:25
2,442,505,702,2840,2023-09-07 13:32:38
3,820,692,404,3731,2024-02-03 10:19:59
4,957,650,107,4001,2023-08-25 04:11:07
5,301,394,660,583,2023-12-31 23:50:08
6,904,710,,597,2023-10-24 04:23:32
7,666,445,,1097,2023-12-21 17:08:32
8,355,515,243,2643,2024-04-18 17:32:57
9,95,336,776,1027,2023-12-28 02:20:06
10,934,452,,3694,2023-07-03 08:35:45
11,982,264,402,1407,2024-02-06 01:15:43
12,736,599,454,549,2023-05-30 05:12:51
13,253,568,629,4262,2023-06-21 13:38:26
14,259,894,914,459,2023-09-03 02:45:47
15,364,395,,449,2024-03-19 18:00:54
16,212,461,975,3123,2023-10-11 06:03:59
17,354,514,607,1102,2024-02-02 16:17:03
18,722,808,655,3473,2023-10-30 18:42:19
19,358,617,752,1907,2023-11-13 11:51:54
20,2,879,,4965,2024-01-31 08:16:01
21,612,345,964,3707,2024-02-02 12:09:56
22,189,773,464,1236,2023-07-20 05:36:25
23,934,710,383,3169,2023-09-07 05:06:23
24,459,153,900,818,2023-11-06 05:51:16
25,251,565,93,1867,2024-03-24 15:09:34
26,545,175,998,2029,2024-04-22 07:52:17
27,436,598,34,2077,2024-05-16 06:26:27
28,766,715,,1305,2023-10-22 20:11:50
29,394,557,97,4542,2023-11-17 03:28:27
30,91,72,132,4063,2024-03-09 11:08:59
31,389,245,,703,2024-02-21 06:28:25
32,736,982,90,685,2024-03-13 02:20:58
33,85,105,,4220,2024-04-15 07:35:27
34,628,108,273,728,2023-07-14 07:36:02
35,817,31,,2835,2024-04-15 15:22:22
36,840,671,12,2284,2023-11-04 22:17:53
37,620,225,975,1374,2023-10-26 03:29:54
38,602,974,,4618,2024-04-26 19:18:08
39,742,158,272,3323,2023-09-14 13:01:34
40,588,62,592,1215,2024-01-31 11:48:30
41,592,778,82,1891,2023-11-16 13:15:48
42,448,675,609,2835,2024-05-17 15:39:21
43,189,562,775,1453,2023-10-01 10:13:17
44,162,811,,4135,2024-03-19 03:44:46
45,151,591,588,1917,2023-12-18 06:43:04
46,345,194,609,4733,2023-11-14 02:30:02
47,376,490,43,2807,2023-06-15 01:34:51
48,701,885,890,3280,2023-11-07 04:24:21
49,119,266,,3312,2023-11-04 06:42:59
50,588,442,983,2537,2023-08-29 10:49:16
51,50,418,,2300,2023-06-04 13:01:24
52,583,47,,2559,2023-10-14 06:54:13
53,832,277,396,4679,2023-05-28 09:19:49
54,525,980,738,3000,2023-10-12 12:51:21
55,636,280,104,4398,2023-09-20 09:53:12
56,114,731,,4063,2024-02-08 01:49:05
57,639,874,,4605,2023-11-18 11:38:21
58,136,138,444,2700,2024-02-10 12:02:44
59,823,336,,2285,2024-03-12 15:41:46
60,715,523,389,3189,2024-02-26 13:02:23
61,939,932,899,3828,2024-04-30 23:02:34
62,194,156,266,493,2024-04-14 09:04:41
63,461,473,754,169,2024-04-07 23:14:46
64,225,996,,3809,2024-02-25 02:49:06
65,154,90,590,2224,2023-12-29 18:05:45
66,720,629,708,1540,2023-11-21 12:05:17
67,556,453,363,1383,2023-12-30 07:09:37
68,729,18,333,4592,2024-04-09 19:07:26
69,241,791,606,2829,2023-06-05 16:12:14
70,930,307,129,2694,2024-01-12 01:31:50
71,84,31,,3403,2023-09-29 07:44:36
72,54,63,180,1780,2024-02-08 08:07:15
73,392,526,,1156,2024-04-28 17:12:03
74,599,1,542,913,2023-08-18 14:20:20
75,725,546,893,1470,2023-08-24 13:47:34
76,667,300,,1540,2023-07-20 08:31:16
77,817,771,708,3122,2023-12-17 19:51:17
78,699,796,907,1375,2024-04-22 00:57:17
79,593,729,373,1580,2023-09-16 03:20:13
80,84,843,750,4009,2023-09-19 11:36:47
81,714,199,,468,2024-03-06 16:07:14
82,636,916,,2419,2023-07-17 06:08:54
83,486,954,295,4466,2023-06-16 00:32:37
84,33,555,,3488,2023-07-04 22:13:03
85,539,721,988,3119,2023-12-16 23:01:46
86,901,571,943,820,2024-02-03 05:51:11
87,485,241,548,184,2023-08-01 22:05:08
88,746,565,409,685,2024-05-06 10:17:44
89,209,482,622,1956,2024-01-18 19:20:22
90,26,857,879,4118,2023-05-27 13:21:03
91,444,805,,693,2023-06-21 03:27:01
92,829,322,,1021,2023-11-25 13:57:23
93,559,71,,1988,2023-08-25 12:07:43
94,158,319,140,3608,2023-08-10 08:02:25
95,720,125,809,661,2023-11-24 02:17:34
96,730,79,259,1261,2023-05-28 11:28:17
97,406,999,75,4415,2023-12-28 19:22:20
98,80,786,940,1979,2023-12-10 16:43:59
99,626,526,105,1685,2024-03-16 11:16:01
100,508,631,108,1977,2023-07-13 12:20:55
101,511,473,449,3235,2023-10-01 17:30:26
102,217,886,745,3088,2024-04-11 18:00:28
103,165,756,251,1861,2023-12-15 04:36:03
104,298,980,,1191,2024-04-15 18:17:04
105,469,142,247,3662,2024-05-19 22:39:40
106,358,918,193,2802,2023-09-02 22:46:56
107,965,48,451,4005,2023-12-21 05:06:21
108,156,678,568,3903,2023-11-11 23:06:03
109,215,29,,2373,2024-05-09 14:02:08
110,967,266,,2073,2023-12-16 02:16:23
111,207,46,640,1662,2024-01-06 02:08:17
112,471,207,433,4570,2024-05-14 05:52:05
113,31,830,927,2086,2024-01-11 15:37:26
114,342,738,,676,2023-11-05 02:01:27
115,100,988,416,2863,2023-08-01 11:34:09
116,731,369,,929,2024-01-18 03:47:10
117,424,324,,4792,2023-05-31 23:04:20
118,63,697,,4389,2023-06-03 16:22:04
119,829,831,204,3963,2023-09-26 20:55:19
120,335,201,642,1548,2023-08-11 22:29:55
121,581,485,,741,2023-06-11 06:06:14
122,30,532,949,1416,2023-10-06 12:58:15
123,529,458,,931,2023-09-10 22:44:37
124,608,937,488,1365,2023-12-05 07:30:52
